"Pais","Lmundial","Leconomica","Lprensa","Idemocracia"
" Afghanistan","No libre","Mayormente no libre","Dificil","Autoritario"
" Albania","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Algeria","No libre","Reprimido","Dificil","Hibrido"
" Andorra","Libre",NA,"Satisfactoria",NA
" Angola","No libre","Mayormente no libre","Moderada","Autoritario"
" Antigua and Barbuda","Libre",NA,"Satisfactoria",NA
" Argentina","Libre","Mayormente no libre","Moderada","Endeble"
" Armenia","Parcialmente libre","Mayormente libre","Moderada","Hibrido"
" Australia","Libre","Libre","Satisfactoria","Democracia"
" Austria","Libre","Mayormente libre","Satisfactoria","Democracia"
" Azerbaijan","No libre","Moderadamente libre","Muy seria","Autoritario"
" Bahamas","Libre","Moderadamente libre",NA,NA
" Bahrain","No libre","Moderadamente libre","Muy seria","Autoritario"
" Bangladesh","Parcialmente libre","Mayormente no libre","Dificil","Hibrido"
" Barbados","Libre","Moderadamente libre",NA,NA
" Belarus","No libre","Moderadamente libre","Dificil","Autoritario"
" Belgium","Libre","Moderadamente libre","Buena","Endeble"
" Belize","Libre","Mayormente no libre","Moderada",NA
" Benin","Parcialmente libre","Mayormente no libre","Dificil","Hibrido"
" Bhutan","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Bolivia","Parcialmente libre","Reprimido","Dificil","Hibrido"
" Bosnia and Herzegovina","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Botswana","Libre","Moderadamente libre","Satisfactoria","Endeble"
" Brazil","Libre","Mayormente no libre","Moderada","Endeble"
" Brunei","No libre","Moderadamente libre","Dificil",NA
" Bulgaria","Libre","Mayormente libre","Dificil","Endeble"
" Burkina Faso","Parcialmente libre","Mayormente no libre","Satisfactoria","Hibrido"
" Burma","No libre","Mayormente no libre","Dificil","Autoritario"
" Burundi","No libre","Reprimido","Muy seria","Autoritario"
" Cambodia","No libre","Mayormente no libre","Dificil","Autoritario"
" Cameroon","No libre","Mayormente no libre","Dificil","Autoritario"
" Canada","Libre","Mayormente libre","Satisfactoria","Democracia"
" Cape Verde","Libre","Moderadamente libre","Satisfactoria","Endeble"
" Central African Republic","No libre","Mayormente no libre","Dificil","Autoritario"
" Chad","No libre","Mayormente no libre","Dificil","Autoritario"
" Chile","Libre","Mayormente libre","Moderada","Democracia"
" China","No libre","Mayormente no libre","Muy seria","Autoritario"
" Colombia","Parcialmente libre","Moderadamente libre","Dificil","Endeble"
" Comoros","Parcialmente libre","Mayormente no libre","Moderada","Autoritario"
" Costa Rica","Libre","Moderadamente libre","Buena","Democracia"
" Congo, Democratic Republic of the","No libre","Reprimido","Dificil","Autoritario"
" Congo, Republic of the","No libre","Reprimido","Dificil","Autoritario"
" Croatia","Libre","Moderadamente libre","Moderada","Endeble"
" Cuba","No libre","Reprimido","Muy seria","Autoritario"
" Cyprus","Libre","Mayormente libre","Satisfactoria","Endeble"
" Czech Republic","Libre","Mayormente libre","Satisfactoria","Endeble"
" Denmark","Libre","Mayormente libre","Buena","Democracia"
" Djibouti","No libre","Mayormente no libre","Muy seria","Autoritario"
" Dominica","Libre","Moderadamente libre","Satisfactoria",NA
" Dominican Republic","Parcialmente libre","Moderadamente libre","Moderada","Endeble"
" East Timor","Libre","Reprimido","Moderada","Endeble"
" Ecuador","Parcialmente libre","Mayormente no libre","Moderada","Endeble"
" Egypt","No libre","Mayormente no libre","Muy seria","Autoritario"
" El Salvador","Parcialmente libre","Moderadamente libre","Moderada","Endeble"
" Equatorial Guinea","No libre","Reprimido","Muy seria","Autoritario"
" Eritrea","No libre","Reprimido","Muy seria","Autoritario"
" Estonia","Libre","Mayormente libre","Buena","Endeble"
" Eswatini","No libre","Mayormente no libre","Dificil","Autoritario"
" Ethiopia","No libre","Mayormente no libre","Moderada","Autoritario"
" Fiji","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Finland","Libre","Mayormente libre","Buena","Democracia"
" France","Libre","Moderadamente libre","Satisfactoria","Democracia"
" Gabon","No libre","Mayormente no libre","Dificil","Autoritario"
" Gambia","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" Georgia","Parcialmente libre","Mayormente libre","Moderada","Hibrido"
" Germany","Libre","Mayormente libre","Buena","Democracia"
" Ghana","Libre","Mayormente no libre","Satisfactoria","Endeble"
" Greece","Libre","Mayormente no libre","Moderada","Endeble"
" Grenada","Libre",NA,"Satisfactoria",NA
" Guatemala","Parcialmente libre","Moderadamente libre","Dificil","Hibrido"
" Guinea","Parcialmente libre","Mayormente no libre","Moderada","Autoritario"
" Guinea-Bissau","Parcialmente libre","Mayormente no libre","Moderada","Autoritario"
" Guyana","Libre","Mayormente no libre","Moderada","Endeble"
" Haiti","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" Honduras","Parcialmente libre","Moderadamente libre","Dificil","Hibrido"
" Hong Kong","Parcialmente libre","Libre","Moderada","Endeble"
" Hungary","Parcialmente libre","Moderadamente libre","Moderada","Endeble"
" Iceland","Libre","Mayormente libre","Satisfactoria","Democracia"
" India","Libre","Mayormente no libre","Dificil","Endeble"
" Indonesia","Parcialmente libre","Moderadamente libre","Dificil","Endeble"
" Iran","No libre","Reprimido","Muy seria","Autoritario"
" Iraq","No libre",NA,"Muy seria","Autoritario"
" Ireland","Libre","Libre","Buena","Democracia"
" Israel","Libre","Mayormente libre","Moderada","Endeble"
" Italy","Libre","Moderadamente libre","Satisfactoria","Endeble"
" Ivory Coast","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" Jamaica","Libre","Moderadamente libre","Buena","Endeble"
" Japan","Libre","Mayormente libre","Moderada","Endeble"
" Jordan","Parcialmente libre","Moderadamente libre","Dificil","Autoritario"
" Kazakhstan","No libre","Moderadamente libre","Dificil","Autoritario"
" Kenya","Parcialmente libre","Mayormente no libre","Moderada","Hibrido"
" Kiribati","Libre","Reprimido",NA,NA
" Korea, North","No libre","Reprimido","Muy seria","Autoritario"
" Korea, South","Libre","Mayormente libre","Satisfactoria","Endeble"
" Kosovo","Parcialmente libre","Moderadamente libre","Moderada",NA
" Kuwait","Parcialmente libre","Moderadamente libre","Moderada","Autoritario"
" Kyrgyzstan","Parcialmente libre","Moderadamente libre","Moderada","Hibrido"
" Laos","No libre","Mayormente no libre","Muy seria","Autoritario"
